881618880255065,کد 12 رقمی نماد,IRB3SS2499C1,کد 5 رقمی نماد,S24Q1,نام لاتین شرکت,SSI-IJR2-NVN210316,کد 4 رقمی شرکت,SS24,نام شرکت,اجاره شستا-بخش2-نوين13991226,نماد فارسی,شستا994   ,نماد 30 رقمی فارسی,اجاره تامين اجتماعي-نوين991226,کد 12 رقمی شرکت,IRB3SS2499C9,بازار,بازار ابزارهاي نوين مالي فرابورس,کد تابلو,4,کد گروه صنعت,69 ,گروه صنعت,اوراق تامين مالي,کد زیر گروه صنعت,6910,زیر گروه صنعت,صكوك اجاره
917857106093847,کد 12 رقمی نماد,IRO3HPRZ0001,کد 5 رقمی نماد,HPRZ1,نام لاتین شرکت,Parsian Oil&Gas,کد 4 رقمی شرکت,HPRZ,نام شرکت,توسعه حمل و نقل ريلي پارسيان,نماد فارسی,حپارسا   ,نماد 30 رقمی فارسی,توسعه حمل و نقل ريلي پارسيان,کد 12 رقمی شرکت,IRO3HPRZ0002,بازار,بازار دوم فرابورس,کد تابلو,3,کد گروه صنعت,60 ,گروه صنعت,حمل ونقل، انبارداري و ارتباطات,کد زیر گروه صنعت,6010      ,زیر گروه صنعت,حمل و نقل از طريق خطوط راه آهن
1050751214677134,کد 12 رقمی نماد,IRO5PSGS0001,کد 5 رقمی نماد,PSGS1,نام لاتین شرکت,PetroSanat Gameron,کد 4 رقمی شرکت,PSGS,نام شرکت,مجتمع پترو صنعت گامرون,نماد فارسی,شگامرن   ,نماد 30 رقمی فارسی,مجتمع پترو صنعت گامرون,کد 12 رقمی شرکت,IRO5PSGS0009,بازار,شرکتهاي کوچک و متوسط فرابورس,کد تابلو,9,کد گروه صنعت,44 ,گروه صنعت,محصولات شيميايي,کد زیر گروه صنعت,4411,زیر گروه صنعت,توليد مواد شيميايي پايه به جز كود
1123534346391630,کد 12 رقمی نماد,IRX6X28T0006,کد 5 رقمی نماد,X28T6,نام لاتین شرکت,Index Group 28,کد 4 رقمی شرکت,IDXS,نام شرکت,شركت شاخص,نماد فارسی,28-محصولات فلزي6   ,نماد 30 رقمی فارسی,28-محصولات فلزي,کد 12 رقمی شرکت,IRX6X28T0006,بازار,-,کد تابلو,6,کد گروه صنعت,X1 ,گروه صنعت,شاخص,کد زیر گروه صنعت,X1        ,زیر گروه صنعت,شاخص
1200391996585610,کد 12 رقمی نماد,IRO6MELZ97A1,کد 5 رقمی نماد,TM121,نام لاتین شرکت,Melli Mortgage1901,کد 4 رقمی شرکت,MELZ,نام شرکت,تسهيلات مسكن بانك ملي ايران,نماد فارسی,تملي710   ,نماد 30 رقمی فارسی,تسهيلات مسكن ب. ملي-دي97,کد 12 رقمی شرکت,IRO6MELZ97A0,بازار,بازار ابزارهاي نوين مالي فرابورس,کد تابلو,4,کد گروه صنعت,59 ,گروه صنعت,اوراق حق تقدم استفاده از تسهيلات مسكن,کد زیر گروه صنعت,5910      ,زیر گروه صنعت,اوراق حق تقدم استفاده از تسهيلات مسكن
1245925241417929,کد 12 رقمی نماد,IRO3MSZ91081,کد 5 رقمی نماد,MK261,نام لاتین شرکت,Bank Maskan,کد 4 رقمی شرکت,MSKZ,نام شرکت,بانك مسكن,نماد فارسی,تسه9108   ,نماد 30 رقمی فارسی,امتيازتسهيلات مسكن آبان ماه 91,کد 12 رقمی شرکت,IRO3MSZ91088,بازار,بازار ابزارهاي نوين مالي فرابورس,کد تابلو,4,کد گروه صنعت,59 ,گروه صنعت,اوراق حق تقدم استفاده از تسهيلات مسكن,کد زیر گروه صنعت,5910      ,زیر گروه صنعت,اوراق حق تقدم استفاده از تسهيلات مسكن
1277592884769853,کد 12 رقمی نماد,IRO1OS230001,کد 5 رقمی نماد,OS231,نام لاتین شرکت,Golestan Inv.,کد 4 رقمی شرکت,OS23,نام شرکت,شركت س استان گلستان,نماد فارسی,وسگلستا   ,نماد 30 رقمی فارسی,شركت س استان گلستان,کد 12 رقمی شرکت,IRO1OS230007,بازار,-,کد تابلو,5,کد گروه صنعت,56 ,گروه صنعت,سرمايه گذاريها,کد زیر گروه صنعت,5699      ,زیر گروه صنعت,ساير واسطه هاي  مالي
1314853494617240,کد 12 رقمی نماد,IRR1KSAD0101,کد 5 رقمی نماد,KSAX1,نام لاتین شرکت,Saadi Tile-R,کد 4 رقمی شرکت,KSAD,نام شرکت,كاشي‌ سعدي‌,نماد فارسی,كسعديح   ,نماد 30 رقمی فارسی,ح . كاشي‌ سعدي‌,کد 12 رقمی شرکت,IRR1KSAD0103,بازار,بازار دوم بورس,کد تابلو,5,کد گروه صنعت,49 ,گروه صنعت,كاشي و سراميك,کد زیر گروه صنعت,4993      ,زیر گروه صنعت,توليد گل و سراميك ساختماني
1358190916156744,کد 12 رقمی نماد,IRO1TAZB0001,کد 5 رقمی نماد,TAZB1,نام لاتین شرکت,Azarbayjan Inv.,کد 4 رقمی شرکت,TAZB,نام شرکت,سرمايه‌گذاري‌توسعه‌آذربايجان‌,نماد فارسی,وآذر   ,نماد 30 رقمی فارسی,سرمايه‌گذاري‌توسعه‌آذربايجان‌,کد 12 رقمی شرکت,IRO1TAZB0005,بازار,بازار دوم بورس,کد تابلو,5,کد گروه صنعت,70 ,گروه صنعت,انبوه سازي، املاك و مستغلات,کد زیر گروه صنعت,7099,زیر گروه صنعت,ساير فعاليت هاي املاك و مستغلات
1359959101711313,کد 12 رقمی نماد,IRO3MSZ92071,کد 5 رقمی نماد,MK371,نام لاتین شرکت,BANK MASKAN,کد 4 رقمی شرکت,MSKZ,نام شرکت,بانك مسكن,نماد فارسی,تسه9207   ,نماد 30 رقمی فارسی,امتياز تسهيلات مسكن مهرماه 92,کد 12 رقمی شرکت,IRO3MSZ92078,بازار,بازار ابزارهاي نوين مالي فرابورس,کد تابلو,4,کد گروه صنعت,59 ,گروه صنعت,اوراق حق تقدم استفاده از تسهيلات مسكن,کد زیر گروه صنعت,5910,زیر گروه صنعت,اوراق حق تقدم استفاده از تسهيلات مسكن
